status;atlas_ref_id;brot_id;rezept_variante;name;gruppe;schritt_nr;zutaten_list;anweisung;techniken_tags;zeit_aufwand;bild_ref;quelle;bild_lead;step_bild_positive_prompt;step_bild_negativ_prompt;lead_bild_positive_prompt;lead_bild_negativ_prompt;tipps;gemini_comment1;gemini_comment2;Herkunft;Geschichte, Entstehung;Tradition;
active;CH-ZH-001;CHE-00016-G-001;1;Zürcherbrot;Kantonsbrote;1;1kg Ruch- oder Halbweissmehl, 7dl Wasser, 30g Hefe, 20g Salz;Mischen & Kneten: Mehl und Hefe mit Wasser mischen. Salz nach 5 Min beigeben. Insgesamt 10-15 Min kneten.;Kneten;15 Min;CHE-00016-G-001-st1.jpg;Schweizer Brot;CHE-00016-G-001.jpg;Professional food photography, kneading dough in a bakery setting, flour dust, hands working the dough;blurry, text, cartoon;Professional food photography, Zürcherbrot, long rustic loaf with 3-4 diagonal cuts, crispy crust, on wooden board, artisan style;blurry, text, cartoon;Standard Langbrotteig.;Gute Glutenentwicklung wichtig.;Der Klassiker in Zürich.;Kanton Zürich;Entstand aus der städtischen Bäckertradition.;Wird als 'Langbrot' geformt und typischerweise 3-4 mal schräg eingeschnitten. Eher schlanke Form.;
active;CH-ZH-001;CHE-00016-G-001;1;Zürcherbrot;Kantonsbrote;2;Keine;Gären: Teig ca. 60 Min ruhen lassen bis doppelt so gross.;Gären;60 Min;CHE-00016-G-001-st2.jpg;Schweizer Brot;CHE-00016-G-001.jpg;Professional food photography, risen dough in a bowl, voluminous, smooth surface;blurry, text, cartoon;Professional food photography, Zürcherbrot, long rustic loaf with 3-4 diagonal cuts, crispy crust, on wooden board, artisan style;blurry, text, cartoon;Teig abdecken.;Gleichmässige Temperatur.;Volumen muss sich verdoppeln.;Kanton Zürich;Entstand aus der städtischen Bäckertradition.;Wird als 'Langbrot' geformt und typischerweise 3-4 mal schräg eingeschnitten. Eher schlanke Form.;
active;CH-ZH-001;CHE-00016-G-001;1;Zürcherbrot;Kantonsbrote;3;Keine;Formen: Zwei lange Brote formen. Auf Backpapier nochmals kurz gehen lassen.;Formen;15 Min;CHE-00016-G-001-st3.jpg;Schweizer Brot;CHE-00016-G-001.jpg;Professional food photography, shaping long bread loaves, raw dough on table;blurry, text, cartoon;Professional food photography, Zürcherbrot, long rustic loaf with 3-4 diagonal cuts, crispy crust, on wooden board, artisan style;blurry, text, cartoon;Gleichmässig langrollen.;Schluss gut verschliessen.;Spannung aufbauen.;Kanton Zürich;Entstand aus der städtischen Bäckertradition.;Wird als 'Langbrot' geformt und typischerweise 3-4 mal schräg eingeschnitten. Eher schlanke Form.;
active;CH-ZH-001;CHE-00016-G-001;1;Zürcherbrot;Kantonsbrote;4;Wasser;Backen: Mit flacher Klinge 3-5 mal schräg einschneiden. Ca. 50 Min bei 230 Grad backen. Mit Wasser bestreichen.;Backen,Einschneiden;50 Min;CHE-00016-G-001-st4.jpg;Schweizer Brot;CHE-00016-G-001.jpg;Professional food photography, scoring bread dough with lame, diagonal cuts, raw texture;blurry, text, cartoon;Professional food photography, Zürcherbrot, long rustic loaf with 3-4 diagonal cuts, crispy crust, on wooden board, artisan style;blurry, text, cartoon;Schnittwinkel ca 45 Grad.;Viel Dampf für Ausbund.;Glanzstreiche nach dem Backen.;Kanton Zürich;Entstand aus der städtischen Bäckertradition.;Wird als 'Langbrot' geformt und typischerweise 3-4 mal schräg eingeschnitten. Eher schlanke Form.;
active;CH-TI-001;CHE-00017-G-001;1;Tessinerbrot;Kantonsbrote;1;500g Weissmehl, 20g Hefe, 10g Salz, 2.8dl Wasser, 25g Rapsöl;Mischen: Mehl und Hefe mischen. Wasser und Öl mischen und beigeben. 2 Min langsam, 7 Min schnell kneten.;Mischen,Kneten;10 Min;CHE-00017-G-001-st1.jpg;Schweizer Brot;CHE-00017-G-001.jpg;Professional food photography, pouring oil into flour mixture, mixer bowl, ingredients;blurry, text, cartoon;Professional food photography, Tessinerbrot, pane ticinese, composed of multiple joined small rolls, golden crust, breakable segments, on stone table;blurry, text, cartoon;Öl macht die Krume weich.;Helles Mehl verwenden.;Ein beliebtes Partybrot.;Kanton Tessin;Auch 'Pane Ticinese' genannt.;Besteht aus mehreren kleinen Brötchen (Reihenbrot), die zusammengebacken werden. Man bricht es, statt es zu schneiden.;
active;CH-TI-001;CHE-00017-G-001;1;Tessinerbrot;Kantonsbrote;2;Keine;Gären: Zugedeckt 50 Min aufgehen lassen.;Gären;50 Min;CHE-00017-G-001-st2.jpg;Schweizer Brot;CHE-00017-G-001.jpg;Professional food photography, dough rising under damp cloth, kitchen scene;blurry, text, cartoon;Professional food photography, Tessinerbrot, pane ticinese, composed of multiple joined small rolls, golden crust, breakable segments, on stone table;blurry, text, cartoon;Teig ist geschmeidig durch Fett.;Nicht antrocknen lassen.;Sollte sich luftig anfühlen.;Kanton Tessin;Auch 'Pane Ticinese' genannt.;Besteht aus mehreren kleinen Brötchen (Reihenbrot), die zusammengebacken werden. Man bricht es, statt es zu schneiden.;
active;CH-TI-001;CHE-00017-G-001;1;Tessinerbrot;Kantonsbrote;3;Keine;Formen: In 10 Stücke teilen (à ca 85g). Rund aufarbeiten, länglich formen. Je 5 Stück aneinanderreihen (gibt 2 Brote). 50 Min garen.;Teilen,Formen;60 Min;CHE-00017-G-001-st3.jpg;Schweizer Brot;CHE-00017-G-001.jpg;Professional food photography, placing small dough rolls in a row touching each other, raw dough;blurry, text, cartoon;Professional food photography, Tessinerbrot, pane ticinese, composed of multiple joined small rolls, golden crust, breakable segments, on stone table;blurry, text, cartoon;Stücke gleich schwer abwiegen.;Kontaktstellen evtl. leicht ölen für besseres Brechen.;Muss als Reihe zusammenwachsen.;Kanton Tessin;Auch 'Pane Ticinese' genannt.;Besteht aus mehreren kleinen Brötchen (Reihenbrot), die zusammengebacken werden. Man bricht es, statt es zu schneiden.;
active;CH-TI-001;CHE-00017-G-001;1;Tessinerbrot;Kantonsbrote;4;Wasser;Backen: Mit Wasser bestreichen, längs einschneiden. Bei 250 Grad (fallend auf 220) 25 Min backen. Nochmals mit Wasser bestreichen.;Backen,Glasieren;25 Min;CHE-00017-G-001-st4.jpg;Schweizer Brot;CHE-00017-G-001.jpg;Professional food photography, brushing baked tessiner bread with water, shine, steam;blurry, text, cartoon;Professional food photography, Tessinerbrot, pane ticinese, composed of multiple joined small rolls, golden crust, breakable segments, on stone table;blurry, text, cartoon;Längsschnitt über alle Teile.;Nicht zu dunkel backen.;Glanzstreiche ist wichtig.;Kanton Tessin;Auch 'Pane Ticinese' genannt.;Besteht aus mehreren kleinen Brötchen (Reihenbrot), die zusammengebacken werden. Man bricht es, statt es zu schneiden.;
active;CH-VS-001;CHE-00018-G-001;1;Walliser Roggenbrot AOP;Kantonsbrote;1;375g Roggenvollkornmehl, 250ml Wasser, 40g Sauerteig-Starter;Vorteig: Zutaten mischen und ca. 6 Stunden bei 30 Grad gären lassen.;Fermentieren;360 Min;CHE-00018-G-001-st1.jpg;Schweizer Brot;CHE-00018-G-001.jpg;Professional food photography, dark rye sourdough starter in jar, bubbles, rustic texture;blurry, text, cartoon;Professional food photography, Walliser Roggenbrot AOP, round compact loaf with cracked pattern crust, rye flour, dark brown, rustic alpine style;blurry, text, cartoon;Echter Sauerteig ist Pflicht für AOP.;Roggen braucht Säure.;Geduld ist die wichtigste Zutat.;Kanton Wallis;Einziges Schweizer Brot mit AOP-Label. Uralte Tradition der Bergbauern.;Kompakt, dunkel, sehr lange haltbar. Früher wurde nur wenige Male im Jahr im Gemeindeofen gebacken.;
active;CH-VS-001;CHE-00018-G-001;1;Walliser Roggenbrot AOP;Kantonsbrote;2;Reifer Vorteig, 500g Roggenmehl fein, 500ml Wasser, 25g Hefe, 25g Salz;Teig: Vorteig mit restlichen Zutaten mischen. 10-15 Min kneten (klebriger Teig). 60-90 Min garen.;Kneten,Gären;105 Min;CHE-00018-G-001-st2.jpg;Schweizer Brot;CHE-00018-G-001.jpg;Professional food photography, mixing sticky grey rye dough, rustic bowl, heavy texture;blurry, text, cartoon;Professional food photography, Walliser Roggenbrot AOP, round compact loaf with cracked pattern crust, rye flour, dark brown, rustic alpine style;blurry, text, cartoon;Roggen klebt extrem - Hände nass machen.;Maschine langsam laufen lassen.;Typisch graue Farbe.;Kanton Wallis;Einziges Schweizer Brot mit AOP-Label. Uralte Tradition der Bergbauern.;Kompakt, dunkel, sehr lange haltbar. Früher wurde nur wenige Male im Jahr im Gemeindeofen gebacken.;
active;CH-VS-001;CHE-00018-G-001;1;Walliser Roggenbrot AOP;Kantonsbrote;3;Roggenmehl;Formen: Zu runden Laiben formen. In Roggenmehl wenden. Aufs Blech geben, flach drücken. Aufgehen lassen bis Risse entstehen.;Formen;45 Min;CHE-00018-G-001-st3.jpg;Schweizer Brot;CHE-00018-G-001.jpg;Professional food photography, raw rye dough loaf coated in flour showing cracks on surface;blurry, text, cartoon;Professional food photography, Walliser Roggenbrot AOP, round compact loaf with cracked pattern crust, rye flour, dark brown, rustic alpine style;blurry, text, cartoon;Die Risse ("Marmorierung") sind gewünscht.;Kegelförmig ("Schrut") formen, dann flachdrücken.;Keine Schnitte setzen.;Kanton Wallis;Einziges Schweizer Brot mit AOP-Label. Uralte Tradition der Bergbauern.;Kompakt, dunkel, sehr lange haltbar. Früher wurde nur wenige Male im Jahr im Gemeindeofen gebacken.;
active;CH-VS-001;CHE-00018-G-001;1;Walliser Roggenbrot AOP;Kantonsbrote;4;Keine;Backen: Bei 220 Grad ca. 60 Min backen (fallende Hitze).;Backen;60 Min;CHE-00018-G-001-st4.jpg;Schweizer Brot;CHE-00018-G-001.jpg;Professional food photography, rye bread baking in stone oven, dark crust;blurry, text, cartoon;Professional food photography, Walliser Roggenbrot AOP, round compact loaf with cracked pattern crust, rye flour, dark brown, rustic alpine style;blurry, text, cartoon;Muss gut durchgebacken sein.;Schmeckt nach 24h oft besser.;Ideal zu Trockenfleisch und Käse.;Kanton Wallis;Einziges Schweizer Brot mit AOP-Label. Uralte Tradition der Bergbauern.;Kompakt, dunkel, sehr lange haltbar. Früher wurde nur wenige Male im Jahr im Gemeindeofen gebacken.;
active;CH-UR-001;CHE-00019-G-001;1;Urnerbrot;Kantonsbrote;1;1kg Ruch- oder Halbweissmehl, 7dl Wasser, 30g Hefe, 20g Salz;Mischen & Kneten: Mehl, Hefe, Wasser mischen. Salz nach 5 Min. 10-15 Min kneten.;Kneten;15 Min;CHE-00019-G-001-st1.jpg;Schweizer Brot;CHE-00019-G-001.jpg;Professional food photography, baker kneading dough ball, smooth surface, flour;blurry, text, cartoon;Professional food photography, Urnerbrot, two round loaves baked touching each other ("kissing"), rustic crust, torn apart at connection;blurry, text, cartoon;Klassischer Ruchteig.;Ähnelt den anderen Zentralschweizer Broten.;Rustikaler Charakter.;Kanton Uri;Brot für die Säumer am Gotthardpass.;Ein 'Doppelbrot' aus zwei runden Laiben, die sich beim Backen berühren ('küssen'). Die Abrisskante hält frisch.;
active;CH-UR-001;CHE-00019-G-001;1;Urnerbrot;Kantonsbrote;2;Keine;Gären: Ca. 50 Min ruhen lassen (doppelt so gross).;Gären;50 Min;CHE-00019-G-001-st2.jpg;Schweizer Brot;CHE-00019-G-001.jpg;Professional food photography, risen dough in bowl, side view, volume;blurry, text, cartoon;Professional food photography, Urnerbrot, two round loaves baked touching each other ("kissing"), rustic crust, torn apart at connection;blurry, text, cartoon;Zugluft vermeiden.;Teigtemperatur beachten.;Volumen ist wichtig für die Porung.;Kanton Uri;Brot für die Säumer am Gotthardpass.;Ein 'Doppelbrot' aus zwei runden Laiben, die sich beim Backen berühren ('küssen'). Die Abrisskante hält frisch.;
active;CH-UR-001;CHE-00019-G-001;1;Urnerbrot;Kantonsbrote;3;Keine;Formen: Zwei runde Brotlaibe formen. Schwach aneinanderlegen auf Blech. 15-20 Min aufgehen lassen.;Formen;20 Min;CHE-00019-G-001-st3.jpg;Schweizer Brot;CHE-00019-G-001.jpg;Professional food photography, two round dough pieces placed touching on baking sheet;blurry, text, cartoon;Professional food photography, Urnerbrot, two round loaves baked touching each other ("kissing"), rustic crust, torn apart at connection;blurry, text, cartoon;Nur leicht berühren lassen.;Rundwirken für Oberflächenspannung.;Typische Zwillingsform.;Kanton Uri;Brot für die Säumer am Gotthardpass.;Ein 'Doppelbrot' aus zwei runden Laiben, die sich beim Backen berühren ('küssen'). Die Abrisskante hält frisch.;
active;CH-UR-001;CHE-00019-G-001;1;Urnerbrot;Kantonsbrote;4;Keine;Backen: Im Ofen bei 230 Grad ca. 50 Min backen.;Backen;50 Min;CHE-00019-G-001-st4.jpg;Schweizer Brot;CHE-00019-G-001.jpg;Professional food photography, finished bread in oven, golden brown;blurry, text, cartoon;Professional food photography, Urnerbrot, two round loaves baked touching each other ("kissing"), rustic crust, torn apart at connection;blurry, text, cartoon;Gut ausbacken.;Kruste soll rösch sein.;Nach dem Backen trennen oder zusammen lassen.;Kanton Uri;Brot für die Säumer am Gotthardpass.;Ein 'Doppelbrot' aus zwei runden Laiben, die sich beim Backen berühren ('küssen'). Die Abrisskante hält frisch.;
active;CH-VD-001;CHE-00020-G-001;1;Waadtländer Kreuzbrot;Kantonsbrote;1;200g Halbweissmehl, 1.5dl Wasser, 5g Hefe;Vorteig: Zutaten zu einem Teig kneten. 3 Stunden aufgehen lassen.;Mischen,Fermentieren;180 Min;CHE-00020-G-001-st1.jpg;Schweizer Brot;CHE-00020-G-001.jpg;Professional food photography, small preferment dough ball in bowl, yeast activity;blurry, text, cartoon;Professional food photography, Waadtländer Kreuzbrot, round loaf with deep cross-shaped indentation, golden crust, flour dusted;blurry, text, cartoon;Vorteig (Hebel) bringt Aroma.;Halbweissmehl ist typisch Waadtland.;Elegantes Brot.;Kanton Waadt;Auch 'Pain de la croix' genannt.;Runder Laib mit eingedrücktem Kreuzmuster. Symbolik ist religiös oder praktisch (Vierteilen).;
active;CH-VD-001;CHE-00020-G-001;1;Waadtländer Kreuzbrot;Kantonsbrote;2;Reifer Vorteig, 800g Halbweissmehl, 5dl Wasser, 30g Hefe, 20g Salz;Teig: Alle Zutaten mischen (Salz später). 10-15 Min kneten. 90 Min ruhen. Falten. Nochmals 30 Min ruhen.;Kneten,Gären,Falten;135 Min;CHE-00020-G-001-st2.jpg;Schweizer Brot;CHE-00020-G-001.jpg;Professional food photography, folding dough on workbench, elastic texture;blurry, text, cartoon;Professional food photography, Waadtländer Kreuzbrot, round loaf with deep cross-shaped indentation, golden crust, flour dusted;blurry, text, cartoon;Lange Gare mit Vorteig.;Falten für Struktur.;Teig soll nicht zu fest sein.;Kanton Waadt;Auch 'Pain de la croix' genannt.;Runder Laib mit eingedrücktem Kreuzmuster. Symbolik ist religiös oder praktisch (Vierteilen).;
active;CH-VD-001;CHE-00020-G-001;1;Waadtländer Kreuzbrot;Kantonsbrote;3;Mehl;Formen: Zwei Laibe rund formen, bemehlen. 20 Min ruhen. Mit dünnem Rollholz über das Kreuz abdrücken. 20 Min ruhen.;Formen,Eindrücken;40 Min;CHE-00020-G-001-st3.jpg;Schweizer Brot;CHE-00020-G-001.jpg;Professional food photography, pressing a thin rolling pin into round dough to create a cross shape;blurry, text, cartoon;Professional food photography, Waadtländer Kreuzbrot, round loaf with deep cross-shaped indentation, golden crust, flour dusted;blurry, text, cartoon;Kreuz eindrücken, nicht schneiden!;Holz gut bemehlen.;Form muss erhalten bleiben.;Kanton Waadt;Auch 'Pain de la croix' genannt.;Runder Laib mit eingedrücktem Kreuzmuster. Symbolik ist religiös oder praktisch (Vierteilen).;
active;CH-VD-001;CHE-00020-G-001;1;Waadtländer Kreuzbrot;Kantonsbrote;4;Keine;Backen: Bei 240 Grad (fallend auf 220) 30-40 Min goldbraun backen.;Backen;40 Min;CHE-00020-G-001-st4.jpg;Schweizer Brot;CHE-00020-G-001.jpg;Professional food photography, cross bread baking in oven, crust coloring;blurry, text, cartoon;Professional food photography, Waadtländer Kreuzbrot, round loaf with deep cross-shaped indentation, golden crust, flour dusted;blurry, text, cartoon;Schöner Ausbund am Kreuz.;Goldene Farbe.;Perfekt zu Waadtländer Saucisson.;Kanton Waadt;Auch 'Pain de la croix' genannt.;Runder Laib mit eingedrücktem Kreuzmuster. Symbolik ist religiös oder praktisch (Vierteilen).;
active;CH-SPEC-003;CHE-00021-G-001;1;Härdöpfelbrot;Grundteige;1;500g Härdöpfelbrotmischung, 10g Salz, 1/4 Würfel Hefe, 4dl Wasser;Mischen: Mehl/Mix, Salz und aufgelöste Hefe mit Wasser anrühren. Gut kneten. Ums Doppelte aufgehen lassen.;Mischen,Gären;60 Min;CHE-00021-G-001-st1.jpg;Schweizer Brot;CHE-00021-G-001.jpg;Professional food photography, mixing dough with potato flakes, slightly yellow tint;blurry, text, cartoon;Professional food photography, Härdöpfelbrot, rustic potato bread, moist crumb, golden crust, sliced, rustic table;blurry, text, cartoon;Kartoffeln halten das Brot feucht.;Teig ist oft klebrig.;Beliebte Abwechslung.;Schweiz (Allgemein);Ursprünglich Armeleuteessen und Resteverwertung (Kartoffelstock).;Durch die Stärke der Kartoffel bleibt das Brot sehr lange saftig und frisch. Rustikale Kruste.;
active;CH-SPEC-003;CHE-00021-G-001;1;Härdöpfelbrot;Grundteige;2;Keine;Formen: Brote formen. Nochmals 30 Min unter Tuch ruhen lassen.;Formen;30 Min;CHE-00021-G-001-st2.jpg;Schweizer Brot;CHE-00021-G-001.jpg;Professional food photography, shaped potato bread dough rising under linen cloth;blurry, text, cartoon;Professional food photography, Härdöpfelbrot, rustic potato bread, moist crumb, golden crust, sliced, rustic table;blurry, text, cartoon;Bemehlte Hände helfen.;Form meist oval oder rund.;Weicher Teig, vorsichtig formen.;Schweiz (Allgemein);Ursprünglich Armeleuteessen und Resteverwertung (Kartoffelstock).;Durch die Stärke der Kartoffel bleibt das Brot sehr lange saftig und frisch. Rustikale Kruste.;
active;CH-SPEC-003;CHE-00021-G-001;1;Härdöpfelbrot;Grundteige;3;Keine;Backen: Bei 220 Grad 25 Minuten backen.;Backen;25 Min;CHE-00021-G-001-st3.jpg;Schweizer Brot;CHE-00021-G-001.jpg;Professional food photography, potato bread in oven, baking process;blurry, text, cartoon;Professional food photography, Härdöpfelbrot, rustic potato bread, moist crumb, golden crust, sliced, rustic table;blurry, text, cartoon;Bräunt oft schneller wegen Kartoffelstärke.;Garprobe machen.;Saftige Krume.;Schweiz (Allgemein);Ursprünglich Armeleuteessen und Resteverwertung (Kartoffelstock).;Durch die Stärke der Kartoffel bleibt das Brot sehr lange saftig und frisch. Rustikale Kruste.;
active;CH-FR-002;CHE-00022-G-001;1;Baguette;Grundteige;1;500g Weissmehl, 320ml lauwarmes Wasser, 21g Frischhefe, 2 Prisen Zucker;Mischen: Mehl, Zucker, Hefe und Wasser beigeben. 4 Min langsam, 4 Min schnell kneten.;Mischen,Kneten;8 Min;CHE-00022-G-001-st1.jpg;Schweizer Brot;CHE-00022-G-001.jpg;Professional food photography, mixer kneading white baguette dough, smooth texture;blurry, text, cartoon;Professional food photography, French Baguette, long thin loaf, 4 diagonal cuts, crispy crust, open crumb pore structure, on linen cloth;blurry, text, cartoon;Gluten muss gut entwickelt sein.;Weissmehl Typ 400 oder 550.;Der Klassiker zum Apéro.;Frankreich (in CH adoptiert);Kam im 19. Jh. auf, Verbreitung durch Dampföfen.;Lang, dünn, sehr knusprig mit grober Porung. Hält sich nicht lange frisch ("Tagesbrot").;
active;CH-FR-002;CHE-00022-G-001;1;Baguette;Grundteige;2;12g Salz;Salz & Gären: Salz beigeben, 4 Min schnell kneten. 2.5 Std ruhen lassen. Dabei 3 mal strecken und falten (alle 30-45 min).;Kneten,Falten;150 Min;CHE-00022-G-001-st2.jpg;Schweizer Brot;CHE-00022-G-001.jpg;Professional food photography, baker performing stretch and fold on dough, gluten development;blurry, text, cartoon;Professional food photography, French Baguette, long thin loaf, 4 diagonal cuts, crispy crust, open crumb pore structure, on linen cloth;blurry, text, cartoon;Strecken und Falten für Porung.;Teigruhe ist essenziell.;Teig schonend behandeln.;Frankreich (in CH adoptiert);Kam im 19. Jh. auf, Verbreitung durch Dampföfen.;Lang, dünn, sehr knusprig mit grober Porung. Hält sich nicht lange frisch ("Tagesbrot").;
active;CH-FR-002;CHE-00022-G-001;1;Baguette;Grundteige;3;Mehl;Formen: Teig halbieren, zu 38cm langen Baguettes formen. 30 Min ruhen lassen.;Formen;30 Min;CHE-00022-G-001-st3.jpg;Schweizer Brot;CHE-00022-G-001.jpg;Professional food photography, rolling baguettes on floured surface, long shape;blurry, text, cartoon;Professional food photography, French Baguette, long thin loaf, 4 diagonal cuts, crispy crust, open crumb pore structure, on linen cloth;blurry, text, cartoon;Vorsichtig rollen, Luft drin lassen.;Spitze Enden sind typisch.;In Bäckerleinen ruhen lassen.;Frankreich (in CH adoptiert);Kam im 19. Jh. auf, Verbreitung durch Dampföfen.;Lang, dünn, sehr knusprig mit grober Porung. Hält sich nicht lange frisch ("Tagesbrot").;
active;CH-FR-002;CHE-00022-G-001;1;Baguette;Grundteige;4;Keine;Backen: Viermal quer einschneiden. Bei 240 Grad 27 Min backen (Dampf nach 10 Min ablassen).;Backen,Einschneiden;27 Min;CHE-00022-G-001-st4.jpg;Schweizer Brot;CHE-00022-G-001.jpg;Professional food photography, scoring baguette with lame, sharp cuts;blurry, text, cartoon;Professional food photography, French Baguette, long thin loaf, 4 diagonal cuts, crispy crust, open crumb pore structure, on linen cloth;blurry, text, cartoon;Scharfe Klinge für "Ohren".;Viel Anfangsdampf.;Knusprigkeit durch Ablassen des Dampfes am Ende.;Frankreich (in CH adoptiert);Kam im 19. Jh. auf, Verbreitung durch Dampföfen.;Lang, dünn, sehr knusprig mit grober Porung. Hält sich nicht lange frisch ("Tagesbrot").;
active;CH-AI-001;CHE-00023-G-001;1;Pfilenbrot;Spezialbrote;1;450g Weissmehl, 10g Salz, 20g Hefe, 2.5dl Milch, 7g Traubenzucker, 50g Butter;Mischen & Kneten: Mehl und Salz mischen. Hefe in Milch auflösen. Mit Traubenzucker zum Mehl geben. Butter beigeben. 10-15 Min kneten.;Kneten;15 Min;CHE-00023-G-001-st1.jpg;Schweizer Brot;CHE-00023-G-001.jpg;Professional food photography, mixing dough ingredients in a bowl, milk, flour, butter;blurry, text, cartoon;Professional food photography, Pfilenbrot from Appenzell, unique woven bread cylinder pattern, golden crust, rustic wooden background;blurry, text, cartoon;Milch und Butter machen es fein.;Eher festerer Teig zum Flechten.;Lokale Spezialität.;Kanton Appenzell Innerrhoden;Festtagsbrot, oft zur Landsgemeinde.;Aufwendig geformtes Gebäck: Über einen Teigzylinder wird ein Gitter aus dünnen Teigsträngen gewoben/gelegt.;
active;CH-AI-001;CHE-00023-G-001;1;Pfilenbrot;Spezialbrote;2;Keine;Gären: Teig zugedeckt ruhen lassen, bis er doppelt so gross ist.;Gären;60 Min;CHE-00023-G-001-st2.jpg;Schweizer Brot;CHE-00023-G-001.jpg;Professional food photography, risen dough in bowl, smooth surface, volume doubled;blurry, text, cartoon;Professional food photography, Pfilenbrot from Appenzell, unique woven bread cylinder pattern, golden crust, rustic wooden background;blurry, text, cartoon;Gut abdecken.;Hefe braucht Zeit.;Vorbereitung für Kunsthandwerk.;Kanton Appenzell Innerrhoden;Festtagsbrot, oft zur Landsgemeinde.;Aufwendig geformtes Gebäck: Über einen Teigzylinder wird ein Gitter aus dünnen Teigsträngen gewoben/gelegt.;
active;CH-AI-001;CHE-00023-G-001;1;Pfilenbrot;Spezialbrote;3;Keine;Formen: 350g Teig zu einem Zylinder formen (Basis). Restlichen Teig in 10 dünne Stränge rollen. Die Stränge gitterartig über den Zylinder legen ("Pfilen").;Formen,Flechten;30 Min;CHE-00023-G-001-st3.jpg;Schweizer Brot;CHE-00023-G-001.jpg;Professional food photography, baker weaving thin dough strands over a larger dough cylinder, intricate pattern;blurry, text, cartoon;Professional food photography, Pfilenbrot from Appenzell, unique woven bread cylinder pattern, golden crust, rustic wooden background;blurry, text, cartoon;Erfordert Geduld und Geschick.;Gleichmässige Gitterabstände.;Optisch ein Highlight.;Kanton Appenzell Innerrhoden;Festtagsbrot, oft zur Landsgemeinde.;Aufwendig geformtes Gebäck: Über einen Teigzylinder wird ein Gitter aus dünnen Teigsträngen gewoben/gelegt.;
active;CH-AI-001;CHE-00023-G-001;1;Pfilenbrot;Spezialbrote;4;1 Eigelb;Backen: Nochmals 15-20 Min gehen lassen. Mit Eigelb bestreichen. Bei 200 Grad 25-35 Min backen.;Backen,Glasieren;40 Min;CHE-00023-G-001-st4.jpg;Schweizer Brot;CHE-00023-G-001.jpg;Professional food photography, golden brown woven bread coming out of oven, shiny crust;blurry, text, cartoon;Professional food photography, Pfilenbrot from Appenzell, unique woven bread cylinder pattern, golden crust, rustic wooden background;blurry, text, cartoon;Eigelb gibt goldenen Glanz.;Nicht zu dunkel backen.;Schmeckt leicht süsslich/buttrig.;Kanton Appenzell Innerrhoden;Festtagsbrot, oft zur Landsgemeinde.;Aufwendig geformtes Gebäck: Über einen Teigzylinder wird ein Gitter aus dünnen Teigsträngen gewoben/gelegt.;
active;CH-SPEC-004;CHE-00024-G-001;1;Grahambrot;Spezialbrote;1;500g Grahammehl, 3.8dl Wasser, 10g Hefe;Mischen: Mehl, Wasser und Hefe zu einem Teig anrühren.;Mischen;5 Min;CHE-00024-G-001-st1.jpg;Schweizer Brot;CHE-00024-G-001.jpg;Professional food photography, mixing whole wheat graham flour and water, rustic texture;blurry, text, cartoon;Professional food photography, Grahambrot, rectangular whole wheat loaf, sliced, healthy texture, sandwich bread style;blurry, text, cartoon;Grahammehl ist feines Vollkornschrot.;Braucht oft mehr Wasser (Quellstück).;Gesunde Alternative.;International / Schweiz;Benannt nach dem Reformer Sylvester Graham (19. Jh.).;Vollkornbrot, oft in Kastenform gebacken. Ballaststoffreich und kompakt.;
active;CH-SPEC-004;CHE-00024-G-001;1;Grahambrot;Spezialbrote;2;10g Salz;Kneten: Salz zugeben, Teig tüchtig durchkneten bis er weich und elastisch ist.;Kneten;10 Min;CHE-00024-G-001-st2.jpg;Schweizer Brot;CHE-00024-G-001.jpg;Professional food photography, kneading brown graham dough, elastic texture;blurry, text, cartoon;Professional food photography, Grahambrot, rectangular whole wheat loaf, sliced, healthy texture, sandwich bread style;blurry, text, cartoon;Schrot braucht Quellzeit.;Gut kneten für Struktur.;Klebt gerne etwas.;International / Schweiz;Benannt nach dem Reformer Sylvester Graham (19. Jh.).;Vollkornbrot, oft in Kastenform gebacken. Ballaststoffreich und kompakt.;
active;CH-SPEC-004;CHE-00024-G-001;1;Grahambrot;Spezialbrote;3;Keine;Gären & Formen: Teig ums Doppelte aufgehen lassen. Zur Rolle formen, in gefettete Kastenform legen. Nochmals 30 Min gehen lassen.;Gären,Formen;90 Min;CHE-00024-G-001-st3.jpg;Schweizer Brot;CHE-00024-G-001.jpg;Professional food photography, placing dough roll into baking tin, raw dough;blurry, text, cartoon;Professional food photography, Grahambrot, rectangular whole wheat loaf, sliced, healthy texture, sandwich bread style;blurry, text, cartoon;Kastenform fetten oder Papier nutzen.;Gare in der Form ist wichtig.;Kompakte Form.;International / Schweiz;Benannt nach dem Reformer Sylvester Graham (19. Jh.).;Vollkornbrot, oft in Kastenform gebacken. Ballaststoffreich und kompakt.;
