status;atlas_ref_id;brot_id;rezept_variante;name;gruppe;schritt_nr;zutaten_list;anweisung;techniken_tags;zeit_aufwand;bild_ref;quelle
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;2;Keine;Stockgare: Schüssel mit feuchtem Tuch decken. Ruhen lassen bis doppelt so gross (ca. 60 Min).;Gären;60 Min;CHE-00002-G-001-st2.jpg;;CHE-00002-G-001.jpg;Professional food photography, close up of fermented dough surface, bubbles, texture, soft lighting;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss Obwaldner Brot, two long rustic bread sticks baked together side-by-side, dark brown crust, lying on a wooden cutting board, one end torn off to reveal texture, crumbs, rustic style;plastic, artificial, perfect symmetry, blurry, text
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;3;Keine;Formen: Teig in vier Stücke teilen. Diese zu je ca. 25 cm langen Strängen formen. Je zwei Stränge stirnseitig aneinander auf ein Backblech legen (Kontaktbackweise).;Teilen,Formen;15 Min;CHE-00002-G-001-st3.jpg;;CHE-00002-G-001.jpg;Professional food photography, baker shaping long dough strands on a floured table, placing two strands side by side, raw dough;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss Obwaldner Brot, two long rustic bread sticks baked together side-by-side, dark brown crust, lying on a wooden cutting board, one end torn off to reveal texture, crumbs, rustic style;plastic, artificial, perfect symmetry, blurry, text
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;4;Wasser;Backen: Ofen auf 220 Grad vorheizen. Brote nochmals 30-40 Min ruhen lassen. Rund 50 Minuten backen und gleich mit heissem Wasser bestreichen.;Backen,Glasieren;90 Min;CHE-00002-G-001-st4.jpg;;CHE-00002-G-001.jpg;Professional food photography, brushing hot water onto fresh hot bread crust, steam rising, shiny surface, bakery setting;blurry, plastic, cartoon, text;Professional food photography, traditional Swiss Obwaldner Brot, two long rustic bread sticks baked together side-by-side, dark brown crust, lying on a wooden cutting board, one end torn off to reveal texture, crumbs, rustic style;plastic, artificial, perfect symmetry, blurry, text

active;CH-MIG-002;CHE-00055-G-001;1;Alpenbrot (Migros-Art);Spezialbrote;1;150g Ruchmehl (oder Halbweiss), 150g Wasser, 2g Hefe;Vorteig (Poolish): Hefe im Wasser auflösen, Mehl einrühren. Abgedeckt 12-16 Stunden bei Raumtemperatur reifen lassen (bringt das Aroma ohne Zusatzstoffe).;Mischen,Fermentieren;720 Min;CHE-00055-G-001-st1.jpg;Nachbau (Migros);CHE-00055-G-001.jpg;Professional food photography, mixing a liquid poolish pre-ferment in a glass bowl, bubbly texture;blurry, text, cartoon;Professional food photography, Alpenbrot (Alpine Bread), rustic oval loaf, flour dusted crust, light brown color, placed on a wooden board, Swiss bakery style;blurry, text, cartoon, seeds
active;CH-MIG-002;CHE-00055-G-001;1;Alpenbrot (Migros-Art);Spezialbrote;2;Reifer Poolish, 300g Halbweissmehl, 50g Roggenmehl (entspricht ca. 9%), 1.8dl Wasser, 10g Hefe, 5g Backmalz (aktiv);Mischen: Mehle, Wasser, Malz und Hefe zum Vorteig geben. 3-4 Minuten langsam mischen.;Mischen;5 Min;CHE-00055-G-001-st2.jpg;Nachbau (Migros);CHE-00055-G-001.jpg;Professional food photography, ingredients for bread dough including rye flour and malt powder;blurry, text, cartoon;Professional food photography, Alpenbrot (Alpine Bread), rustic oval loaf, flour dusted crust, light brown color, placed on a wooden board, Swiss bakery style;blurry, text, cartoon, seeds
active;CH-MIG-002;CHE-00055-G-001;1;Alpenbrot (Migros-Art);Spezialbrote;3;12g Salz;Kneten: Salz beigeben. Auf zweiter Stufe ca. 10 Minuten kneten, bis der Teig elastisch ist (Fenstertest). Durch den Roggen klebt er leicht.;Kneten;10 Min;CHE-00055-G-001-st3.jpg;Nachbau (Migros);CHE-00055-G-001.jpg;Professional food photography, kneading a slightly sticky dough mixed with rye flour;blurry, text, cartoon;Professional food photography, Alpenbrot (Alpine Bread), rustic oval loaf, flour dusted crust, light brown color, placed on a wooden board, Swiss bakery style;blurry, text, cartoon, seeds
active;CH-MIG-002;CHE-00055-G-001;1;Alpenbrot (Migros-Art);Spezialbrote;4;Keine;Gären: Teig in geölter Wanne 60-90 Minuten ruhen lassen. Nach 45 Minuten einmal dehnen und falten.;Gären,Falten;90 Min;CHE-00055-G-001-st4.jpg;Nachbau (Migros);CHE-00055-G-001.jpg;Professional food photography, dough bulk fermentation, smooth surface, volume doubled;blurry, text, cartoon;Professional food photography, Alpenbrot (Alpine Bread), rustic oval loaf, flour dusted crust, light brown color, placed on a wooden board, Swiss bakery style;blurry, text, cartoon, seeds
active;CH-MIG-002;CHE-00055-G-001;1;Alpenbrot (Migros-Art);Spezialbrote;5;Mehl (zum Aufarbeiten);Formen: Teig auf bemehlte Arbeitsfläche geben. Zu einem länglichen, ovalen Laib wirken (Schluss unten). Gut bemehlen für die rustikale Optik.;Formen;15 Min;CHE-00055-G-001-st5.jpg;Nachbau (Migros);CHE-00055-G-001.jpg;Professional food photography, shaping an oval bread loaf on a floured surface, baker hands;blurry, text, cartoon;Professional food photography, Alpenbrot (Alpine Bread), rustic oval loaf, flour dusted crust, light brown color, placed on a wooden board, Swiss bakery style;blurry, text, cartoon, seeds
active;CH-MIG-002;CHE-00055-G-001;1;Alpenbrot (Migros-Art);Spezialbrote;6;Keine;Backen: Ofen auf 240 Grad vorheizen. Teigling einschneiden (z.B. 2-3 schräge Schnitte oder ein Längsschnitt). Mit Dampf backen. Nach 10 Min auf 210 Grad reduzieren. Gesamtzeit ca. 45-50 Min.;Backen,Einschneiden;50 Min;CHE-00055-G-001-st6.jpg;Nachbau (Migros);CHE-00055-G-001.jpg;Professional food photography, scoring the raw bread loaf with a blade before baking;blurry, text, cartoon;Professional food photography, Alpenbrot (Alpine Bread), rustic oval loaf, flour dusted crust, light brown color, placed on a wooden board, Swiss bakery style;blurry, text, cartoon, seeds

